#bin	matches	misMatches	repMatches	nCount	qNumInsert	qBaseInsert	tNumInsert	tBaseInsert	strand	qName	qSize	qStart	qEnd	tName	tSize	tStart	tEnd	blockCount	blockSizes	qStarts	tStarts
1364	1819	2	0	0	0	0	9	5987	-	205828_at	1821	0	1821	chr11	134452384	102211742	102219550	10	425,104,160,134,145,165,126,149,245,168,	0,425,529,689,823,968,1133,1259,1408,1653,	102211742,102213238,102214491,102215050,102216048,102216369,102218094,102218371,102218612,102219382,
1365	1771	6	0	0	1	1	10	10427	-	204580_at	1778	0	1778	chr11	134452384	102238685	102250889	12	122,332,107,160,134,124,155,6,126,149,249,113,	0,122,454,561,721,855,979,1135,1141,1267,1416,1665,	102238685,102238809,102240086,102241716,102242255,102243210,102243848,102244003,102247533,102247743,102248804,102250776,
1365	2670	1	44	0	0	0	9	10024	-	205959_at	2722	0	2715	chr11	134452384	102318933	102331672	10	1372,104,160,134,118,162,126,149,242,148,	7,1379,1483,1643,1777,1895,2057,2183,2332,2574,	102318933,102321584,102323829,102324963,102326048,102327950,102330094,102330396,102331190,102331524,
1471	157	0	159	5	4	4	0	0	-	242920_at	325	0	325	chr11	134452384	116257476	116257797	5	166,100,31,9,15,	0,167,268,300,310,	116257476,116257642,116257742,116257773,116257782,
1511	881	1	0	8	5	5	0	0	+	239672_at	898	3	898	chr11	134452384	121473614	121474504	6	330,3,9,14,261,273,	3,334,338,348,363,625,	121473614,121473944,121473947,121473956,121473970,121474231,
94	2148	2	55	0	0	0	8	58433	+	219017_at	2220	0	2205	chr12	132349534	22669275	22729913	9	9,502,260,141,143,84,161,74,831,	0,9,511,771,912,1055,1139,1300,1374,	22669275,22669285,22687963,22703214,22705263,22715472,22717700,22728683,22729082,
95	1445	1	20	0	0	0	6	40493	-	207336_at	1473	0	1466	chr12	132349534	23578080	23620039	7	30,612,217,174,109,146,178,	7,37,649,866,1040,1149,1295,	23578080,23578111,23580653,23587411,23590516,23607458,23619861,
158	1529	8	0	0	1	5	6	39809	-	206439_at	1567	1	1543	chr12	132349534	89881592	89922938	8	325,317,96,203,159,175,178,84,	24,354,671,767,970,1129,1304,1482,	89881592,89881917,89887951,89889707,89890729,89895995,89920308,89922854,
171	2264	0	182	48	3	3	2	6	+	226368_at	2522	0	2497	chr12	132349534	103677422	103679922	6	249,504,305,841,81,514,	0,250,754,1060,1902,1983,	103677422,103677671,103678176,103678481,103679322,103679408,
171	2264	0	182	48	3	3	2	6	+	226372_at	2522	0	2497	chr12	132349534	103677422	103679922	6	249,504,305,841,81,514,	0,250,754,1060,1902,1983,	103677422,103677671,103678176,103678481,103679322,103679408,
1261	531	0	0	3	0	0	0	0	+	238893_at	535	0	534	chr12	132349534	88627955	88628489	1	534,	0,	88627955,
1570	2726	2	76	0	1	1	0	0	+	219764_at	2811	0	2805	chr12	132349534	129213423	129216227	2	1846,958,	0,1847,	129213423,129215269,
20	2619	1	15	0	2	2	9	1202605	+	223730_at	2644	7	2644	chr13	114142980	92648573	93853813	12	11,4,771,159,392,166,131,144,137,176,537,7,	7,19,23,794,953,1345,1511,1642,1786,1923,2099,2637,	92648573,92648584,92677099,92995516,93280407,93477983,93736603,93756234,93832668,93848720,93853269,93853806,
774	6227	2	127	0	0	0	13	28354	+	204435_at	6356	0	6356	chr13	114142980	24773768	24808478	14	250,143,36,150,138,111,25,66,175,80,119,83,1181,3799,	0,250,393,429,579,717,828,853,919,1094,1174,1293,1376,2557,	24773768,24779943,24781384,24785020,24785751,24787494,24791463,24792667,24793056,24797126,24799053,24799567,24803494,24804679,
788	455	1	68	7	3	3	0	0	-	236975_at	534	0	534	chr13	114142980	26637192	26637723	4	372,114,30,15,	0,373,488,519,	26637192,26637564,26637678,26637708,
873	534	1	0	4	0	0	0	0	+	242669_at	565	0	539	chr13	114142980	37828311	37828850	1	539,	0,	37828311,
983	1314	14	0	0	0	0	7	35105	-	206309_at	1328	0	1328	chr13	114142980	52175404	52211837	8	95,444,167,154,114,141,141,72,	0,95,539,706,860,974,1115,1256,	52175404,52175502,52180671,52184851,52196132,52205354,52211166,52211765,
983	2997	1	685	27	6	21	20	50523	-	222646_s_at	3742	11	3742	chr14	106368585	52178164	52232397	25	11,7,36,117,1123,625,134,87,70,247,93,27,12,47,121,74,77,39,84,120,365,69,50,62,13,	0,11,19,55,185,1309,1934,2068,2155,2225,2472,2565,2592,2604,2651,2772,2846,2923,2962,3046,3166,3535,3605,3655,3718,	52178164,52178176,52178183,52178220,52178350,52179473,52182621,52182842,52188706,52189536,52194384,52194591,52197760,52200268,52202842,52208097,52208262,52214901,52218792,52220255,52231835,52232202,52232271,52232322,52232384,
1315	1078	3	0	0	1	1	1	1	+	207510_at	1082	0	1082	chr14	106368585	95799766	95800848	3	722,12,347,	0,723,735,	95799766,95800488,95800501,
156	7401	20	0	0	1	4	20	63421	+	205679_x_at	7434	2	7427	chr15	100338915	87147993	87218835	21	51,77,384,175,128,294,378,175,128,76,211,240,674,657,2893,114,159,83,145,183,196,	2,53,130,514,689,817,1111,1489,1664,1792,1872,2083,2323,2997,3654,6547,6661,6820,6903,7048,7231,	87147993,87180434,87182897,87184246,87185974,87187589,87189739,87191477,87192145,87193672,87193755,87196028,87199086,87199817,87200759,87204560,87215616,87216237,87217115,87218076,87218639,
156	7109	15	0	0	1	4	18	63718	+	207692_s_at	7137	2	7130	chr15	100338915	87147993	87218835	19	51,77,384,175,128,294,378,175,128,76,211,240,674,657,2893,159,83,145,196,	2,53,130,514,689,817,1111,1489,1664,1792,1872,2083,2323,2997,3654,6547,6706,6789,6934,	87147993,87180434,87182897,87184246,87185974,87187589,87189739,87191477,87192145,87193672,87193755,87196028,87199086,87199817,87200759,87215616,87216237,87217115,87218639,
934	1838	2	0	6	0	0	2	4252	+	233801_s_at	1853	7	1853	chr15	100338915	45845601	45851699	3	70,62,1714,	7,77,139,	45845601,45846104,45849985,
1147	765	0	0	9	0	0	1	170	-	214297_at	819	0	774	chr15	100338915	73753719	73754663	2	683,91,	45,728,	73753719,73754572,
1250	1910	6	0	0	0	0	6	14418	+	217161_x_at	1923	0	1916	chr15	100338915	87202496	87218830	7	1156,159,83,145,183,93,97,	0,1156,1315,1398,1543,1726,1819,	87202496,87215616,87216237,87217115,87218076,87218639,87218733,
618	2572	2	180	29	5	5	2	8876	+	225867_at	2859	0	2788	chr16	88827254	4361868	4373527	8	127,134,152,473,480,485,85,847,	0,127,261,414,888,1369,1855,1941,	4361868,4370870,4371005,4371157,4371630,4372110,4372595,4372680,
715	3834	9	469	37	10	24	3	16	-	213725_x_at	4373	0	4373	chr16	88827254	17103257	17107622	13	35,18,34,31,6,4,280,442,191,236,9,2939,124,	0,35,53,88,120,127,132,426,870,1062,1299,1309,4249,	17103257,17103293,17103312,17103346,17103377,17103383,17103387,17103681,17104123,17104314,17104550,17104559,17107498,
761	3592	2	0	0	0	0	25	38102	-	210037_s_at	3595	1	3595	chr17	78774742	23108341	23150037	26	165,195,149,122,88,208,164,182,79,133,175,50,105,145,83,195,102,175,140,142,92,163,149,123,85,185,	0,165,360,509,631,719,927,1091,1273,1352,1485,1660,1710,1815,1960,2043,2238,2340,2515,2655,2797,2889,3052,3201,3324,3409,	23108341,23110033,23111182,23111775,23112296,23113950,23115133,23116687,23117662,23118857,23120129,23120687,23122065,23123460,23124313,23125409,23129842,23130034,23131919,23132188,23133167,23134096,23138830,23139961,23140756,23149852,
870	444	0	0	0	1	1	0	0	-	241383_at	460	0	445	chr17	78774742	37431119	37431563	2	283,161,	15,299,	37431119,37431402,
1066	556	0	0	0	0	0	0	0	+	239808_at	556	0	556	chr17	78774742	63114069	63114625	1	556,	0,	63114069,
120	2177	9	48	0	3	11	12	44830	+	205205_at	2314	48	2293	chr19	63811651	50186228	50233292	14	18,67,115,52,342,158,92,132,105,216,69,78,724,66,	48,66,135,250,306,648,806,898,1030,1135,1351,1420,1498,2227,	50186228,50196597,50196668,50198046,50207032,50217150,50220426,50220703,50223985,50227631,50229341,50229548,50232502,50233226,
935	536	1	0	0	0	0	3	1482	+	206560_s_at	538	1	538	chr19	63811651	45973217	45975236	4	197,134,111,95,	1,198,332,443,	45973217,45973496,45974713,45975141,
1029	303	1	143	1	0	0	0	0	-	239954_at	448	0	448	chr19	63811651	58280034	58280482	1	448,	0,	58280034,
76	1620	0	72	0	0	0	6	80632	-	204669_s_at	1692	0	1692	chr20	62435964	3861712	3944036	7	158,974,80,42,43,150,245,	0,158,1132,1212,1254,1297,1447,	3861712,3861874,3863640,3873823,3876883,3892521,3943791,
76	1055	2	69	0	0	0	6	80851	-	210706_s_at	1157	9	1135	chr20	62435964	3862215	3944192	7	633,80,42,43,150,69,109,	22,655,735,777,820,970,1039,	3862215,3863640,3873823,3876883,3892521,3902978,3944083,
636	3512	0	54	35	1	1	2	9016	+	205289_at	3626	0	3602	chr20	62435964	6696310	6708927	4	1212,353,1915,121,	0,1212,1565,3481,	6696310,6698766,6706891,6708806,
721	1022	1	62	0	0	0	0	0	-	223666_at	1106	0	1085	chr20	62435964	17896332	17897417	1	1085,	21,	17896332,
915	2075	0	0	0	0	0	8	10070	-	207123_s_at	2092	0	2075	chr20	62435964	43355500	43367645	9	379,108,153,414,123,123,123,570,82,	17,396,504,657,1071,1194,1317,1440,2010,	43355500,43355961,43359971,43360223,43362940,43363155,43363374,43366281,43367563,
946	620	0	123	36	1	1	0	0	+	229899_s_at	783	0	780	chr20	62435964	47338425	47339204	2	319,460,	0,320,	47338425,47338744,
782	1100	0	155	13	5	7	0	0	+	229437_at	1301	0	1275	chr21	46944323	25868083	25869351	6	7,25,90,502,302,342,	0,8,34,125,628,933,	25868083,25868090,25868115,25868205,25868707,25869009,
100	3661	5	199	0	1	1	4	2441	-	205266_at	3868	0	3866	chr22	49691432	28966442	28972748	6	48,1826,81,1648,179,83,	2,51,1877,1958,3606,3785,	28966442,28966490,28968320,28968402,28970743,28972665,
619	6391	0	0	20	4	13	66	23361	-	213870_at	6447	0	6424	chr6_cox_hap1	4731698	4510634	4540406	70	1125,207,113,268,54,36,54,108,54,54,108,54,54,54,54,25,83,54,54,54,54,108,54,54,108,51,57,54,90,108,54,54,54,45,54,45,54,54,108,54,45,54,45,54,45,54,45,54,45,54,54,54,16,38,54,57,87,75,63,42,60,180,63,78,88,94,163,211,150,308,	23,1148,1355,1468,1736,1790,1826,1880,1988,2042,2096,2204,2258,2312,2366,2420,2446,2529,2583,2637,2691,2745,2853,2907,2961,3069,3121,3178,3232,3322,3430,3484,3538,3592,3637,3691,3736,3790,3844,3952,4006,4051,4105,4150,4204,4249,4303,4348,4402,4447,4501,4555,4609,4626,4664,4718,4775,4862,4937,5000,5042,5102,5282,5345,5423,5521,5615,5778,5989,6139,	4510634,4512207,4512792,4513489,4513871,4514111,4514453,4514660,4515010,4515204,4515366,4515739,4516459,4516646,4516896,4517324,4517349,4517772,4517988,4518267,4518498,4518751,4519054,4519211,4519407,4519653,4519704,4519990,4520229,4520470,4521000,4521288,4521442,4521641,4521813,4521951,4522105,4522466,4523513,4523955,4524198,4524372,4524660,4524931,4525120,4525351,4525601,4526071,4526247,4526374,4526618,4526859,4527012,4527028,4527170,4527370,4527658,4528197,4528607,4528903,4529050,4532084,4532931,4533640,4534566,4534664,4536301,4536917,4537259,4540098,
619	5211	8	0	5	4	12	68	23622	-	216993_s_at	5236	0	5236	chr6_cox_hap1	4731698	4511334	4540180	71	37,47,80,259,207,113,268,54,36,54,108,54,54,108,54,54,54,54,27,77,54,54,54,54,108,54,54,108,54,4,49,54,90,108,54,54,54,45,54,45,54,54,108,54,45,54,45,54,45,54,45,54,45,54,54,54,18,30,54,57,87,75,63,42,60,63,192,163,211,150,82,	0,38,85,165,424,631,744,1012,1066,1102,1156,1264,1318,1372,1480,1534,1588,1642,1696,1727,1804,1858,1912,1966,2020,2128,2182,2236,2344,2399,2403,2452,2506,2596,2704,2758,2812,2866,2911,2965,3010,3064,3118,3226,3280,3325,3379,3424,3478,3523,3577,3622,3676,3721,3775,3829,3883,3907,3937,3991,4048,4135,4210,4273,4315,4375,4438,4630,4793,5004,5154,	4511334,4511371,4511419,4511500,4512207,4512792,4513489,4513871,4514111,4514453,4514660,4515010,4515204,4515366,4515739,4516459,4516646,4516896,4517324,4517355,4517772,4517988,4518267,4518498,4518751,4519054,4519211,4519407,4519653,4519707,4519712,4519990,4520229,4520470,4521000,4521288,4521442,4521641,4521813,4521951,4522105,4522466,4523513,4523955,4524198,4524372,4524660,4524931,4525120,4525351,4525601,4526071,4526247,4526374,4526618,4526859,4527012,4527036,4527170,4527370,4527658,4528197,4528607,4528903,4529050,4532931,4534566,4536301,4536917,4537259,4540098,
77	6389	2	0	20	4	13	66	23361	-	213870_at	6447	0	6424	chr6_qbl_hap2	4565931	4316640	4346412	70	1125,207,113,268,54,36,54,108,54,54,108,54,54,54,54,25,83,54,54,54,54,108,54,54,108,51,57,54,90,108,54,54,54,45,54,45,54,54,108,54,45,54,45,54,45,54,45,54,45,54,54,54,16,38,54,57,87,75,63,42,60,180,63,78,88,94,163,211,150,308,	23,1148,1355,1468,1736,1790,1826,1880,1988,2042,2096,2204,2258,2312,2366,2420,2446,2529,2583,2637,2691,2745,2853,2907,2961,3069,3121,3178,3232,3322,3430,3484,3538,3592,3637,3691,3736,3790,3844,3952,4006,4051,4105,4150,4204,4249,4303,4348,4402,4447,4501,4555,4609,4626,4664,4718,4775,4862,4937,5000,5042,5102,5282,5345,5423,5521,5615,5778,5989,6139,	4316640,4318213,4318798,4319495,4319877,4320117,4320459,4320666,4321016,4321210,4321372,4321745,4322465,4322652,4322902,4323330,4323355,4323778,4323994,4324273,4324504,4324757,4325060,4325217,4325413,4325659,4325710,4325996,4326235,4326476,4327006,4327294,4327448,4327647,4327819,4327957,4328111,4328473,4329520,4329962,4330205,4330379,4330667,4330938,4331127,4331358,4331608,4332078,4332254,4332381,4332625,4332866,4333019,4333035,4333177,4333377,4333665,4334204,4334614,4334910,4335057,4338090,4338937,4339646,4340572,4340670,4342307,4342923,4343265,4346104,
77	5208	11	0	5	4	12	68	23622	-	216993_s_at	5236	0	5236	chr6_qbl_hap2	4565931	4317340	4346186	71	37,47,80,259,207,113,268,54,36,54,108,54,54,108,54,54,54,54,27,77,54,54,54,54,108,54,54,108,54,4,49,54,90,108,54,54,54,45,54,45,54,54,108,54,45,54,45,54,45,54,45,54,45,54,54,54,18,30,54,57,87,75,63,42,60,63,192,163,211,150,82,	0,38,85,165,424,631,744,1012,1066,1102,1156,1264,1318,1372,1480,1534,1588,1642,1696,1727,1804,1858,1912,1966,2020,2128,2182,2236,2344,2399,2403,2452,2506,2596,2704,2758,2812,2866,2911,2965,3010,3064,3118,3226,3280,3325,3379,3424,3478,3523,3577,3622,3676,3721,3775,3829,3883,3907,3937,3991,4048,4135,4210,4273,4315,4375,4438,4630,4793,5004,5154,	4317340,4317377,4317425,4317506,4318213,4318798,4319495,4319877,4320117,4320459,4320666,4321016,4321210,4321372,4321745,4322465,4322652,4322902,4323330,4323361,4323778,4323994,4324273,4324504,4324757,4325060,4325217,4325413,4325659,4325713,4325718,4325996,4326235,4326476,4327006,4327294,4327448,4327647,4327819,4327957,4328111,4328473,4329520,4329962,4330205,4330379,4330667,4330938,4331127,4331358,4331608,4332078,4332254,4332381,4332625,4332866,4333019,4333043,4333177,4333377,4333665,4334204,4334614,4334910,4335057,4338937,4340572,4342307,4342923,4343265,4346104,
